0,1,2,3,4,5,6,8,9,12,18,24,30,36,48,60,72,96,144,168,240
5,,3,,2,,,,,2,,26,,,28,,8,3,,1,
450,500,,,,,600,,,,,750,,,900,,950,,,,
0,,,,,,,,,,,0.6,,,0.3,,0.2,0,,,0
870,,,,,,,,,,,,,,250,,,,330,,
,,,,,,,,,,,,,,375,,,,,,
0.3,,,,,,,,,,,0.2,,,0.9,,0.4,0.1,,,0.15
5,,0,,0,,,,,10,,95,,,65,,20,2.5,,5,
,,,,,,,,,,,120,,,,,,,,,
,,,,,,,,,,,700,,,,,,,,,
3,,,,,,5,,,4,,,,,,,,,,,
,,,,,,12,,,,,,,,,,,,,,
,,,,,,,,,5000,,,,,,,,,,,
,,,,,,600,,,,,,,,,,,,,,
,,,,,,,,,,,,100,,,,,,,,
0,2,3,50,200,1000,5000,,,,,,,,,,,,,,
